Date	Fuel Probe 1 volume in tank	Fuel Probe 2 volume in tank	CALC FP1	FUEL 1 DIFF
18/01/2024 02:47:22	336.2 [lit]	362.6 [lit]	336.2	-0.1
18/01/2024 02:49:22	336.3 [lit]	362.5 [lit]	336.3	0.1
18/01/2024 02:51:23	336.3 [lit]	362.5 [lit]	336.3	0
18/01/2024 02:53:23	336.3 [lit]	362.5 [lit]	336.3	0
18/01/2024 02:55:23	336.3 [lit]	362.4 [lit]	336.3	0
18/01/2024 02:57:24	336.3 [lit]	362.4 [lit]	336.3	0
18/01/2024 02:59:24	336.5 [lit]	362.4 [lit]	336.5	0.2
18/01/2024 03:01:24	336.4 [lit]	362.4 [lit]	336.4	-0.1
18/01/2024 03:03:25	336.4 [lit]	362.4 [lit]	336.4	0
18/01/2024 03:05:25	336.5 [lit]	362.4 [lit]	336.5	0.1
18/01/2024 03:07:25	336.4 [lit]	362.4 [lit]	336.4	-0.1
18/01/2024 03:09:26	336.4 [lit]	362.4 [lit]	336.4	0
18/01/2024 03:11:26	336.5 [lit]	362.4 [lit]	336.5	0.1
18/01/2024 03:13:26	336.5 [lit]	362.4 [lit]	336.5	0
18/01/2024 03:15:27	336.5 [lit]	362.4 [lit]	336.5	0
18/01/2024 03:17:27	336.5 [lit]	362.4 [lit]	336.5	0
18/01/2024 03:19:27	336.5 [lit]	362.4 [lit]	336.5	0
